Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
67,67,2016-03-16,,DAL,W,99,98,39,88,.443,10,37,.270,11,13,.846,13,48,21,9,4,16,19,,37,79,.468,7,22,.318,17,19,.895,4,32,24,6,7,10,18
68,68,2016-03-18,@,ORL,W,109,103,38,76,.500,13,28,.464,20,27,.741,9,41,23,7,4,19,21,,37,82,.451,11,22,.500,18,22,.818,9,36,24,12,4,13,24
69,69,2016-03-19,@,MIA,L,101,122,40,76,.526,10,24,.417,11,13,.846,3,26,19,6,3,14,22,,46,84,.548,11,19,.579,19,23,.826,13,42,29,7,5,11,14
70,70,2016-03-21,,DEN,W,124,91,48,86,.558,15,31,.484,13,17,.765,8,43,38,10,4,12,19,,32,81,.395,8,22,.364,19,25,.760,10,35,19,10,4,16,16
71,71,2016-03-23,,MIL,W,113,104,40,83,.482,10,34,.294,23,27,.852,17,42,29,6,8,12,17,,43,80,.538,7,16,.438,11,15,.733,10,31,23,8,4,14,24
72,72,2016-03-24,@,BRK,L,95,104,39,89,.438,10,38,.263,7,9,.778,11,45,22,3,2,14,20,,41,89,.461,8,22,.364,14,19,.737,10,46,28,10,5,9,16
73,73,2016-03-26,@,NYK,W,107,93,37,83,.446,14,34,.412,19,25,.760,15,53,21,6,5,9,23,,33,79,.418,8,23,.348,19,28,.679,10,41,20,5,0,8,23
74,74,2016-03-29,,HOU,L,100,106,31,86,.360,14,40,.350,24,28,.857,10,38,21,5,5,11,31,,38,79,.481,9,25,.360,21,42,.500,14,55,23,7,5,14,24
75,75,2016-03-31,,BRK,W,107,87,38,87,.437,12,38,.316,19,24,.792,9,50,29,10,7,17,17,,35,94,.372,4,21,.190,13,21,.619,13,55,26,12,4,17,19
76,76,2016-04-01,@,ATL,W,110,108,39,98,.398,12,38,.316,20,31,.645,11,57,27,9,6,12,23,,38,95,.400,9,30,.300,23,26,.885,5,48,25,5,8,15,27
77,77,2016-04-03,,CHO,W,112,103,45,83,.542,16,29,.552,6,13,.462,15,46,34,7,1,17,19,,34,76,.447,9,26,.346,26,27,.963,11,35,23,15,4,15,13
78,78,2016-04-05,@,MIL,W,109,80,41,75,.547,18,36,.500,9,10,.900,2,41,30,4,8,16,14,,35,88,.398,4,16,.250,6,12,.500,12,41,20,7,1,10,14
79,79,2016-04-06,@,IND,L,109,123,35,74,.473,8,29,.276,31,34,.912,7,33,15,7,3,10,19,,45,80,.563,16,31,.516,17,22,.773,9,38,25,9,1,14,24
80,80,2016-04-09,@,CHI,L,102,105,36,83,.434,19,40,.475,11,18,.611,12,42,24,5,5,15,18,,40,89,.449,8,24,.333,17,21,.810,13,45,19,8,6,12,22
81,81,2016-04-11,,ATL,W,109,94,40,83,.482,11,29,.379,18,20,.900,9,47,17,9,4,15,14,,39,87,.448,8,30,.267,8,15,.533,10,42,23,8,6,15,18
82,82,2016-04-13,,DET,L,110,112,46,97,.474,7,18,.389,11,15,.733,8,43,21,4,7,10,23,,37,85,.435,16,33,.485,22,28,.786,9,47,24,5,11,12,15
