Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
25,25,2015-12-15,@,MIN,W,112,100,87.0,.370,.247,.660,55.7,58.5,10.4,9.0,.630,14.2,32.3,.274,.494,9.0,74.4,.312
26,26,2015-12-18,@,UTA,L,88,97,89.1,.316,.354,.489,53.0,48.4,11.2,8.3,.430,13.5,30.6,.253,.534,14.3,85.3,.260
27,27,2015-12-20,,NOP,L,125,130,94.4,.229,.365,.591,52.0,57.8,5.3,7.4,.557,4.5,31.0,.188,.635,9.5,78.8,.397
28,28,2015-12-22,,LAL,L,107,111,94.4,.211,.278,.544,52.4,63.4,2.1,8.6,.506,10.9,31.0,.178,.518,10.1,73.8,.286
29,29,2015-12-23,@,PHO,W,104,96,97.6,.143,.385,.538,52.1,61.9,6.1,11.3,.538,14.9,27.7,.066,.489,14.5,75.5,.126
30,30,2015-12-26,@,SAS,L,86,101,89.9,.070,.209,.485,46.8,65.8,6.7,4.2,.471,14.5,20.5,.058,.525,11.1,73.7,.198
31,31,2015-12-27,@,OKC,L,112,122,91.0,.160,.266,.557,46.3,52.2,6.6,2.9,.537,9.0,36.2,.117,.627,13.2,60.6,.217
32,32,2015-12-29,,CLE,L,87,93,97.3,.124,.270,.464,54.2,48.6,8.2,9.4,.444,16.1,25.5,.090,.465,11.1,81.6,.151
33,33,2015-12-30,@,POR,L,103,110,95.3,.218,.310,.540,48.4,54.1,9.4,9.1,.494,12.8,25.5,.195,.540,12.8,72.7,.184
34,34,2016-01-02,@,GSW,L,108,111,90.1,.219,.286,.469,52.5,61.4,7.0,0.0,.443,10.1,38.7,.143,.558,11.9,75.7,.174
35,35,2016-01-03,,POR,L,106,112,92.2,.600,.275,.524,50.0,58.8,7.6,10.9,.469,7.3,30.6,.388,.577,9.8,78.8,.282
36,36,2016-01-06,@,MIN,W,78,74,81.7,.210,.247,.441,53.5,72.4,3.7,11.3,.407,11.1,28.9,.148,.404,9.9,80.5,.205
37,37,2016-01-08,@,MEM,L,84,91,89.3,.218,.218,.440,57.8,59.4,2.2,6.3,.391,15.1,37.3,.184,.415,6.8,78.4,.280
38,38,2016-01-10,,CHO,W,95,92,91.3,.299,.351,.545,52.4,78.1,7.7,14.9,.494,13.0,20.5,.247,.434,11.4,80.0,.241
39,39,2016-01-13,,GSW,W,112,110,100.2,.425,.253,.542,55.7,59.5,7.0,4.8,.454,11.2,28.9,.379,.534,11.8,83.7,.182
40,40,2016-01-15,,MIA,L,95,98,92.8,.333,.231,.531,46.8,71.9,4.3,8.7,.449,12.7,15.4,.321,.519,12.7,77.5,.173
41,41,2016-01-17,,IND,W,129,126,101.3,.418,.286,.599,56.0,54.3,11.8,6.5,.560,13.6,41.5,.297,.640,13.6,73.5,.256
42,42,2016-01-19,,OKC,L,104,110,102.6,.434,.241,.526,48.0,60.0,4.9,8.7,.464,14.7,25.0,.325,.454,10.6,69.2,.227
43,43,2016-01-21,,MEM,L,101,102,90.3,.325,.375,.552,51.9,72.2,6.6,2.0,.506,9.9,23.3,.250,.542,12.4,88.2,.333
44,44,2016-01-23,,DET,W,104,101,94.6,.372,.282,.573,38.6,50.0,15.9,7.3,.513,8.1,7.0,.308,.542,14.8,72.5,.119
