Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
16,16,2015-11-27,@,OKC,L,87,103,92.5,.222,.322,.440,39.6,54.8,9.7,1.8,.394,7.5,22.0,.178,.513,16.6,67.6,.278
17,17,2015-11-29,@,BRK,L,83,87,99.7,.208,.238,.376,50.0,55.9,11.0,1.4,.366,11.3,30.2,.089,.457,17.8,82.1,.160
18,18,2015-11-30,,HOU,W,116,105,96.6,.435,.271,.573,50.5,48.9,8.3,13.1,.576,9.8,32.6,.212,.460,13.8,66.7,.273
19,19,2015-12-02,,PHO,W,127,122,96.9,.506,.310,.597,58.1,54.5,9.4,1.6,.575,14.5,33.3,.310,.557,12.6,78.7,.144
20,20,2015-12-04,,MIL,W,102,95,97.6,.476,.280,.514,47.4,52.9,8.2,5.8,.457,8.3,16.0,.329,.471,13.1,80.9,.149
21,21,2015-12-06,,LAL,W,111,91,99.2,.280,.258,.531,61.0,48.8,11.1,1.6,.489,13.3,35.4,.215,.431,13.9,84.6,.275
22,22,2015-12-07,@,CHO,L,84,104,98.3,.253,.391,.434,41.8,53.1,11.2,3.4,.425,11.0,14.0,.115,.476,12.3,70.8,.286
23,23,2015-12-09,,MEM,L,92,93,91.9,.172,.333,.491,44.8,45.9,9.8,8.2,.471,11.4,26.0,.115,.489,15.4,65.2,.080
24,24,2015-12-11,@,PHI,W,107,95,95.6,.172,.290,.535,52.2,41.9,9.4,14.5,.516,12.3,35.4,.118,.488,18.8,70.5,.213
25,25,2015-12-12,,IND,W,118,96,99.4,.211,.322,.600,58.2,57.8,11.1,9.1,.572,12.5,26.3,.167,.518,15.1,87.8,.134
26,26,2015-12-14,,LAC,L,103,105,91.4,.348,.213,.502,58.1,45.9,7.9,0.0,.449,14.9,34.1,.258,.485,8.8,79.6,.113
27,27,2015-12-16,,BOS,W,119,116,101.4,.551,.269,.614,45.0,34.2,4.9,6.3,.558,10.2,17.1,.410,.539,15.3,74.4,.225
28,28,2015-12-18,@,CHI,W,147,144,92.2,.371,.234,.510,50.8,50.0,5.4,4.1,.484,7.1,31.1,.218,.438,10.3,69.2,.325
29,29,2015-12-22,@,MIA,W,93,92,85.1,.179,.385,.553,51.8,45.7,3.5,4.3,.545,16.0,29.3,.103,.466,5.1,73.8,.114
30,30,2015-12-23,@,ATL,L,100,107,99.5,.371,.236,.483,52.3,47.4,7.0,13.0,.466,11.9,28.9,.191,.517,11.7,76.7,.169
31,31,2015-12-26,,BOS,L,93,99,95.6,.275,.275,.456,52.0,45.7,11.5,3.3,.418,12.8,33.3,.187,.488,12.9,75.0,.202
32,32,2015-12-29,@,NYK,L,96,108,87.7,.191,.303,.498,52.0,56.8,6.8,6.3,.472,9.4,33.3,.135,.595,10.4,80.0,.177
33,33,2015-12-31,,MIN,W,115,90,100.5,.326,.407,.585,59.1,58.5,7.0,4.2,.558,14.0,28.6,.221,.436,13.7,87.0,.174
34,34,2016-01-02,@,IND,L,82,94,94.6,.247,.215,.398,50.5,51.5,5.3,3.6,.371,8.8,22.6,.140,.500,13.2,85.7,.288
35,35,2016-01-04,,ORL,W,115,89,86.9,.239,.341,.591,64.3,58.1,6.9,9.8,.568,9.3,41.9,.170,.481,8.5,87.8,.136
36,36,2016-01-06,@,BOS,W,99,94,94.5,.486,.365,.551,54.7,54.5,4.2,7.9,.514,16.7,29.7,.311,.407,8.9,73.5,.220
37,37,2016-01-09,,BRK,W,103,89,93.9,.152,.293,.525,55.3,53.5,10.7,6.8,.511,8.4,25.0,.098,.494,13.9,87.8,.098
38,38,2016-01-12,,SAS,L,99,109,100.4,.286,.253,.483,45.6,57.9,8.0,2.8,.451,10.5,22.4,.187,.512,14.9,73.2,.259
39,39,2016-01-14,@,MEM,L,101,103,92.0,.236,.444,.635,54.7,48.6,3.3,3.3,.618,20.1,25.0,.167,.546,14.7,84.4,.263
40,40,2016-01-16,,GSW,W,113,95,98.5,.198,.228,.515,54.8,46.8,8.1,15.9,.505,7.6,34.0,.109,.415,10.3,74.1,.181
41,41,2016-01-18,,CHI,L,101,111,93.5,.211,.274,.487,56.8,42.9,8.6,3.2,.468,9.6,38.5,.126,.577,9.7,83.3,.167
42,42,2016-01-20,@,HOU,W,123,114,102.0,.738,.375,.580,52.0,60.5,7.8,9.9,.550,8.6,27.5,.438,.516,11.2,77.6,.168
43,43,2016-01-21,@,NOP,L,99,115,91.7,.220,.330,.496,50.0,44.7,5.5,2.7,.456,13.1,35.3,.176,.564,8.7,70.3,.209
44,44,2016-01-23,@,DEN,L,101,104,94.6,.226,.345,.547,61.4,57.5,4.2,8.9,.542,14.8,27.5,.119,.513,8.1,93.0,.308
45,45,2016-01-25,@,UTA,W,95,92,91.2,.440,.293,.531,46.2,55.9,7.7,1.8,.527,10.0,15.9,.213,.453,12.3,74.5,.176
46,46,2016-01-27,,PHI,W,110,97,93.5,.418,.231,.511,57.3,38.5,9.6,3.2,.456,8.5,42.0,.297,.518,15.2,76.9,.146
47,47,2016-01-29,,CLE,L,106,114,92.0,.310,.274,.555,45.3,50.0,5.4,6.7,.518,8.6,19.6,.226,.524,6.8,75.0,.325
48,48,2016-01-30,@,TOR,L,107,111,97.6,.391,.333,.525,46.4,23.1,10.2,9.4,.500,9.7,23.8,.230,.487,11.6,69.0,.449
