Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,Space,OBPM,DBPM,BPM,VORP
306,Kyle O'Quinn\oquinky01,PF,26,NYK,19,263,18.7,.586,.039,.247,13.1,20.5,16.8,10.9,0.9,6.4,16.6,16.8,,0.5,0.3,0.7,.137,,-0.1,2.5,2.3,0.3
307,Daniel Ochefu\ochefda01,C,23,WAS,3,8,-6.0,.333,.000,.000,0.0,42.9,21.1,0.0,0.0,0.0,25.0,21.8,,0.0,0.0,0.0,-0.223,,-18.6,-7.1,-25.7,0.0
308,Jahlil Okafor\okafoja01,C,21,PHI,19,420,15.3,.528,.000,.260,6.9,14.7,10.9,8.2,0.8,4.2,11.0,24.0,,0.1,0.3,0.4,.042,,-3.1,-0.5,-3.6,-0.2
309,Victor Oladipo\oladivi01,SG,24,OKC,20,703,15.1,.560,.384,.149,1.9,11.5,6.8,13.1,1.4,0.8,10.2,20.8,,1.0,0.7,1.6,.111,,0.9,-0.9,0.1,0.4
310,Kelly Olynyk\olynyke01,C,25,BOS,14,306,12.0,.600,.478,.196,3.2,16.3,9.8,11.4,1.1,0.8,16.0,17.4,,0.3,0.2,0.5,.083,,-0.5,-1.1,-1.6,0.0
311,Arinze Onuaku\onuakar01,C,29,ORL,3,12,8.7,1.000,.000,.000,0.0,9.0,4.4,0.0,0.0,6.5,0.0,3.7,,0.0,0.0,0.0,.140,,-3.9,1.5,-2.4,0.0
312,Kelly Oubre\oubreke01,SF,21,WAS,17,256,10.0,.531,.426,.309,4.3,15.2,9.7,6.2,1.6,0.3,11.5,14.9,,0.2,0.2,0.4,.068,,-1.6,-1.2,-2.8,-0.1
313,Zaza Pachulia\pachuza01,C,32,GSW,20,341,15.0,.572,.000,.348,12.9,22.9,18.2,16.2,2.2,2.0,26.0,13.6,,0.5,0.6,1.1,.151,,-0.5,2.9,2.4,0.4
314,Georgios Papagiannis\papagge01,C,19,SAC,1,6,-1.8,1.000,.000,.000,0.0,19.3,9.7,0.0,0.0,0.0,50.0,14.9,,0.0,0.0,0.0,-0.072,,-7.7,-4.7,-12.3,0.0
315,Jabari Parker\parkeja01,SF,21,MIL,18,585,18.1,.534,.189,.264,5.7,13.9,9.9,11.4,1.8,0.6,7.7,25.4,,0.9,0.6,1.5,.122,,1.0,-1.5,-0.6,0.2
316,Tony Parker\parketo01,PG,34,SAS,13,342,12.0,.513,.118,.264,1.0,7.4,4.2,25.9,1.1,0.2,14.6,19.4,,0.3,0.2,0.5,.064,,-1.3,-2.4,-3.6,-0.1
317,Chandler Parsons\parsoch01,SF,28,MEM,6,126,8.0,.473,.457,.130,1.8,15.5,8.4,6.9,0.8,1.5,14.1,20.5,,-0.2,0.1,0.0,-0.017,,-4.5,-1.5,-6.0,-0.1
318,Patrick Patterson\pattepa01,PF,27,TOR,20,576,11.6,.527,.662,.154,4.0,18.4,11.2,8.1,1.8,1.4,7.6,12.2,,0.7,0.6,1.4,.113,,1.6,1.2,2.8,0.7
319,Chris Paul\paulch01,PG,31,LAC,21,658,28.3,.608,.418,.384,3.0,15.8,9.5,46.6,4.2,0.6,13.3,24.1,,3.0,1.4,4.4,.322,,8.9,3.1,12.0,2.3
320,Adreian Payne\paynead01,PF,25,MIN,7,66,23.7,.638,.286,.464,8.3,16.4,12.2,8.1,3.0,5.2,12.9,25.6,,0.2,0.1,0.3,.215,,2.8,0.3,3.1,0.1
321,Elfrid Payton\paytoel01,PG,22,ORL,20,582,13.5,.465,.217,.222,2.4,11.8,7.1,30.8,2.3,1.7,15.2,19.7,,-0.1,0.9,0.8,.063,,-1.6,1.4,-0.2,0.3
322,Paul Pierce\piercpa01,SF,39,LAC,5,70,7.4,.636,.765,.353,0.0,10.9,5.6,4.1,0.7,1.2,13.3,14.4,,0.1,0.1,0.2,.117,,-0.1,-0.8,-0.9,0.0
323,Marshall Plumlee\plumlma02,C,24,NYK,2,25,11.7,.862,.000,3.000,4.3,21.6,12.9,5.1,2.0,0.0,0.0,4.0,,0.1,0.0,0.1,.159,,-0.4,0.2,-0.2,0.0
324,Mason Plumlee\plumlma01,C,26,POR,21,577,18.2,.560,.012,.368,8.0,21.0,14.4,25.1,1.3,2.6,14.8,16.8,,1.2,0.3,1.6,.130,,1.0,1.4,2.5,0.6
325,Miles Plumlee\plumlmi01,C,28,MIL,17,198,9.7,.536,.000,.556,9.5,11.3,10.4,10.5,2.3,2.2,23.8,13.0,,0.1,0.3,0.3,.079,,-2.5,1.5,-0.9,0.1
326,Jakob Poeltl\poeltja01,C,21,TOR,11,145,11.8,.490,.000,.448,15.8,16.3,16.1,3.7,1.7,3.0,10.3,11.9,,0.2,0.2,0.4,.133,,-0.3,1.0,0.7,0.1
327,Otto Porter\porteot01,SF,23,WAS,18,624,19.2,.607,.320,.143,7.1,20.1,13.5,7.1,2.8,1.2,6.5,16.1,,1.6,0.8,2.4,.182,,2.9,1.2,4.2,1.0
328,Bobby Portis\portibo01,PF,21,CHI,17,202,13.9,.540,.148,.246,12.9,16.0,14.5,8.3,0.2,1.2,11.7,16.2,,0.3,0.2,0.5,.125,,-0.2,-1.4,-1.6,0.0
329,Kristaps Porzingis\porzikr01,PF,21,NYK,19,650,20.6,.587,.362,.272,5.8,16.4,11.1,6.9,1.0,3.7,7.7,24.3,,1.7,0.4,2.1,.158,,3.3,-1.1,2.2,0.7
330,Dwight Powell\poweldw01,C,25,DAL,19,376,16.3,.512,.058,.308,7.4,21.2,13.8,5.5,3.8,2.9,7.8,15.9,,0.3,0.7,1.1,.135,,-2.9,4.1,1.2,0.3
331,Norman Powell\powelno01,SG,23,TOR,16,237,15.8,.619,.438,.370,1.0,14.3,7.7,12.2,1.7,0.7,9.6,17.7,,0.6,0.2,0.8,.165,,2.4,-1.1,1.2,0.2
332,Tim Quarterman\quartti01,SG,22,POR,7,21,44.7,1.143,.286,.000,10.4,5.3,7.9,28.9,0.0,7.5,0.0,14.5,,0.2,0.0,0.2,.491,,16.7,-1.3,15.4,0.1
333,Julius Randle\randlju01,PF,22,LAL,19,519,16.0,.556,.076,.368,7.0,28.2,17.4,20.4,1.2,1.6,21.0,22.2,,0.3,0.4,0.7,.067,,-1.1,1.4,0.3,0.3
334,Zach Randolph\randoza01,PF,35,MEM,15,334,20.2,.517,.079,.189,9.2,33.2,20.7,10.1,1.1,0.6,8.9,30.9,,0.2,0.5,0.7,.101,,-1.9,-1.8,-3.6,-0.1
335,J.J. Redick\redicjj01,SG,32,LAC,20,534,17.1,.644,.486,.243,0.4,7.6,4.1,6.9,1.5,0.5,12.3,23.0,,1.0,0.6,1.6,.148,,2.8,-1.4,1.5,0.5
336,Willie Reed\reedwi02,PF,26,MIA,13,159,14.8,.612,.000,.485,12.5,15.9,14.2,4.9,0.3,1.5,9.1,12.3,,0.4,0.1,0.5,.153,,-0.5,-0.4,-0.8,0.0
337,Josh Richardson\richajo01,SG,23,MIA,13,365,10.6,.497,.504,.095,2.3,9.7,5.9,10.1,1.5,1.5,10.1,19.4,,0.0,0.4,0.4,.052,,-0.6,-0.3,-0.9,0.1
338,Malachi Richardson\richama01,SG,21,SAC,2,8,-0.7,.375,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,,0.0,0.0,0.0,-0.121,,-4.5,-8.0,-12.4,0.0
339,Austin Rivers\riverau01,SG,24,LAC,21,470,9.1,.491,.353,.222,0.7,7.7,4.3,13.7,1.5,0.7,11.1,18.0,,0.0,0.6,0.6,.057,,-1.7,-0.1,-1.9,0.0
340,Andre Roberson\roberan03,SF,25,OKC,20,605,9.9,.507,.421,.198,3.8,12.8,8.4,5.2,2.1,2.7,7.4,10.4,,0.3,0.8,1.1,.090,,-1.5,2.5,1.0,0.4
341,Brian Roberts\roberbr01,PG,31,CHO,5,21,9.0,.363,.286,.857,5.2,15.1,10.2,13.1,0.0,0.0,0.0,20.5,,0.0,0.0,0.0,.015,,-4.8,-3.2,-8.0,0.0
342,Glenn Robinson\robingl02,SF,23,IND,17,336,11.6,.542,.356,.198,3.6,13.9,8.8,4.8,1.2,1.0,7.6,15.5,,0.3,0.2,0.5,.073,,-1.4,-1.5,-3.0,-0.1
343,Thomas Robinson\robinth01,PF,25,LAL,13,106,10.3,.367,.000,.324,18.2,24.2,21.1,4.1,1.4,1.5,8.6,18.5,,-0.1,0.1,0.0,.002,,-5.1,-2.0,-7.0,-0.1
344,Sergio Rodriguez\rodrise01,PG,30,PHI,20,543,11.5,.464,.439,.047,1.9,10.8,6.4,40.2,1.7,0.6,23.6,18.7,,-0.2,0.3,0.0,.003,,-2.0,-2.2,-4.2,-0.3
345,Rajon Rondo\rondora01,PG,30,CHI,17,519,13.1,.436,.179,.126,3.8,19.1,11.5,34.1,2.3,0.7,21.6,16.8,,-0.1,0.8,0.7,.064,,-1.6,1.8,0.2,0.3
346,Derrick Rose\rosede01,PG,28,NYK,19,611,16.3,.509,.110,.251,4.4,9.5,7.0,24.0,1.1,1.2,13.5,25.7,,0.6,0.1,0.7,.054,,0.2,-1.7,-1.5,0.1
347,Terrence Ross\rosste01,SF,25,TOR,19,380,18.6,.633,.486,.128,1.5,9.8,5.7,5.3,2.4,0.5,6.0,19.6,,1.1,0.3,1.4,.176,,3.9,-1.8,2.2,0.4
348,Terry Rozier\roziete01,PG,22,BOS,20,366,12.5,.510,.438,.210,2.7,17.8,10.2,13.9,2.1,0.7,10.2,15.6,,0.3,0.4,0.6,.082,,-1.4,0.1,-1.3,0.1
349,Ricky Rubio\rubiori01,PG,26,MIN,15,458,12.5,.503,.410,.564,4.3,10.3,7.2,30.4,2.5,0.2,23.6,12.1,,0.5,0.3,0.8,.084,,0.3,-0.8,-0.5,0.2
350,Damjan Rudez\rudezda01,SF,30,ORL,11,98,4.6,.472,.833,.000,3.2,7.7,5.4,3.1,2.6,0.0,21.7,10.5,,-0.1,0.1,0.0,.010,,-4.3,0.6,-3.7,0.0
351,Brandon Rush\rushbr01,SG,31,MIN,9,96,1.3,.306,.591,.091,0.0,11.3,5.4,8.5,1.0,1.8,14.9,12.2,,-0.2,0.0,-0.2,-0.089,,-6.2,-1.3,-7.5,-0.1
352,D'Angelo Russell\russeda01,PG,20,LAL,13,348,17.3,.534,.480,.212,2.2,11.9,6.9,30.0,2.4,0.9,16.6,28.5,,0.2,0.2,0.5,.064,,2.8,-1.5,1.2,0.3
353,Domantas Sabonis\sabondo01,PF,20,OKC,20,433,9.2,.557,.402,.016,2.1,14.4,8.4,9.6,1.5,1.1,15.8,14.4,,0.1,0.5,0.6,.070,,-2.0,0.3,-1.7,0.0
354,Dario Saric\saricda01,PF,22,PHI,20,496,8.8,.474,.359,.163,4.1,22.0,13.2,13.0,0.9,0.8,17.6,21.4,,-0.7,0.3,-0.4,-0.035,,-4.1,-0.8,-5.0,-0.4
